Condition,Parameters,Num. Replicas,math_verify_score,Num. Parameters
Rephrased,62M,1,0.0,62000000.0
Rephrased,62M,32,0.007198560287942412,62000000.0
Rephrased,344M,32,0.021195760847830435,344000000.0
Rephrased,344M,3162,0.052389522095580884,344000000.0
Rephrased,93M,0,0.0,93000000.0
Rephrased,34M,100,0.01739652069586083,34000000.0
Rephrased,62M,0,0.0,62000000.0
Rephrased,344M,0,0.0,344000000.0
Rephrased,93M,10,0.0009998000399920016,93000000.0
Rephrased,34M,3,0.0,34000000.0
Rephrased,344M,1,0.0001999600079984003,344000000.0
Rephrased,93M,1000,0.03439312137572485,93000000.0
Rephrased,344M,10,0.0013997200559888023,344000000.0
Rephrased,153M,32,0.016396720655868825,153000000.0
Rephrased,34M,10,0.0003999200159968006,34000000.0
Rephrased,153M,0,0.0,153000000.0
Rephrased,62M,3,0.001799640071985603,62000000.0
Rephrased,153M,100,0.020595880823835233,153000000.0
Rephrased,34M,1,0.0,34000000.0
Rephrased,62M,10,0.0001999600079984003,62000000.0
Rephrased,93M,100,0.02399520095980804,93000000.0
Rephrased,93M,1,0.0,93000000.0
Rephrased,153M,3,0.0003999200159968006,153000000.0
Rephrased,93M,316,0.03179364127174565,93000000.0
Rephrased,153M,10,0.0003999200159968006,153000000.0
Rephrased,344M,100,0.027994401119776045,344000000.0
Rephrased,153M,1,0.0,153000000.0
Rephrased,34M,0,0.0,34000000.0
Rephrased,153M,316,0.028794241151769647,153000000.0
Rephrased,344M,1000,0.03099380123975205,344000000.0
Rephrased,34M,316,0.01859628074385123,34000000.0
Rephrased,34M,32,0.0065986802639472104,34000000.0
Rephrased,344M,316,0.03259348130373925,344000000.0
Rephrased,93M,3,0.0009998000399920016,93000000.0
Rephrased,62M,100,0.015996800639872025,62000000.0
Rephrased,62M,316,0.020395920815836834,62000000.0
Rephrased,344M,3,0.0003999200159968006,344000000.0
Rephrased,93M,32,0.014597080583883223,93000000.0
Rephrased,153M,1000,0.033193361327734455,153000000.0
Perturbed,153M,0,0.0,153000000.0
Perturbed,34M,316,0.014482914686580674,34000000.0
Perturbed,344M,316,0.021950667571848836,344000000.0
Perturbed,153M,10,0.00022629554197782303,153000000.0
Perturbed,34M,32,0.0036207286716451684,34000000.0
Perturbed,153M,1,0.0,153000000.0
Perturbed,93M,1,0.0,93000000.0
Perturbed,93M,3,0.00022629554197782303,93000000.0
Perturbed,153M,32,0.011314777098891152,153000000.0
Perturbed,62M,1,0.0,62000000.0
Perturbed,344M,1,0.00022629554197782303,344000000.0
Perturbed,93M,10,0.0006788866259334691,93000000.0
Perturbed,34M,1,0.0,34000000.0
Perturbed,34M,10,0.00022629554197782303,34000000.0
Perturbed,344M,3,0.0006788866259334691,344000000.0
Perturbed,344M,10,0.004299615297578638,344000000.0
Perturbed,62M,3,0.0006788866259334691,62000000.0
Perturbed,93M,316,0.021045485403937542,93000000.0
Perturbed,93M,0,0.0,93000000.0
Perturbed,93M,100,0.02081918986195972,93000000.0
Perturbed,34M,3,0.0,34000000.0
Perturbed,62M,316,0.01719846119031455,62000000.0
Perturbed,344M,3162,0.021045485403937542,344000000.0
Perturbed,93M,1000,0.016293279022403257,93000000.0
Perturbed,153M,100,0.020592894319981896,153000000.0
Perturbed,344M,1000,0.02376103190767142,344000000.0
Perturbed,344M,100,0.025118805159538356,344000000.0
Perturbed,93M,32,0.011314777098891152,93000000.0
Perturbed,34M,100,0.010862186014935505,34000000.0
